,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,
,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,,2018,,,,,,,,,,,
,Unidad Territorial,,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,
,Comuna,Provincia,Región,,Unidad Territorial,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
1,Santiago,Santiago,Metropolitana de Santiago,,Santiago,8,18,17,31,16,14,4,16,11,16,24,15,,612,518,849,1.274,1.159,1.091,985,1.351,988,772,802,621,,62,63,80,139,89,120,119,101,111,88,85,62,,744,634,812,769,865,834,735,918,716,847,799,792,,43,39,54,47,65,35,34,41,35,40,46,51,,19,12,18,25,23,22,17,32,29,32,31,21,,200,151,210,189,165,155,156,127,204,180,203,188,,38,22,38,28,51,41,42,48,37,44,43,38,,261,233,266,263,245,238,247,246,227,271,301,268,,623,477,757,984,1.158,1.078,1.014,1.368,1.100,1.133,1.167,977,,194,175,225,199,187,193,183,200,190,202,219,244,,1.567,1.575,1.781,1.570,1.698,1.572,1.508,1.692,1.442,1.569,1.493,1.699
2,Cerrillos,Santiago,Metropolitana de Santiago,,Cerrillos,5,2,4,3,2,2,1,3,2,3,6,1,,41,29,92,93,115,62,89,69,30,52,52,34,,4,4,7,9,9,15,15,4,5,6,3,3,,77,97,110,93,123,122,122,120,116,122,132,173,,7,3,8,4,3,4,5,6,5,2,1,9,,2,1,0,1,2,3,2,0,1,1,0,1,,56,35,54,39,63,45,61,47,59,57,64,71,,8,1,6,7,10,8,2,10,5,6,6,3,,54,45,69,63,54,54,48,67,69,81,50,50,,73,55,58,59,75,77,70,84,59,69,89,87,,33,38,27,38,23,32,29,37,26,44,32,35,,154,174,191,152,198,164,198,159,142,190,159,181
3,Cerro Navia,Santiago,Metropolitana de Santiago,,Cerro Navia,2,1,1,1,0,2,3,1,5,2,3,1,,13,29,45,49,63,100,35,38,38,29,45,9,,5,5,10,3,17,11,15,17,12,3,5,4,,18,18,29,21,25,35,22,38,27,39,31,25,,3,0,2,1,1,6,3,4,2,2,2,1,,2,3,1,3,4,4,3,0,2,2,2,2,,84,71,73,59,79,65,82,79,87,79,115,97,,4,5,14,16,17,16,16,23,11,15,16,11,,66,59,87,89,68,59,66,84,81,81,63,89,,40,29,34,25,33,31,39,16,36,39,40,45,,42,33,46,29,38,28,26,42,40,49,49,57,,123,152,153,143,121,181,157,165,144,190,155,143
4,Conchalí,Santiago,Metropolitana de Santiago,,Conchalí,1,0,1,1,1,1,0,0,1,0,0,0,,47,18,41,76,81,158,195,121,138,145,143,75,,18,9,4,28,14,78,82,45,18,13,13,16,,55,52,49,82,77,79,65,62,57,54,57,68,,1,3,7,4,3,7,2,3,4,2,4,2,,2,7,4,3,6,3,1,3,5,3,4,4,,70,65,60,57,73,56,64,74,62,65,64,78,,14,9,6,14,19,8,6,19,13,14,13,12,,76,77,69,62,79,60,61,93,74,92,78,76,,53,46,62,67,69,64,69,47,56,57,55,66,,47,42,48,52,44,38,25,42,43,47,59,48,,244,191,203,188,190,223,233,233,198,219,185,229
5,El Bosque,Santiago,Metropolitana de Santiago,,El Bosque,3,0,2,0,1,0,0,0,6,2,0,4,,47,16,64,126,125,49,75,77,75,149,54,37,,12,12,19,28,16,10,20,31,16,14,6,16,,59,60,88,72,86,79,61,90,89,96,79,55,,2,5,3,0,2,2,4,3,3,2,0,3,,0,1,0,1,1,0,1,1,0,4,1,1,,98,69,81,75,89,88,87,98,87,84,101,101,,15,14,6,12,15,11,6,16,13,13,17,9,,140,91,96,114,120,129,124,139,126,119,151,151,,55,35,71,69,65,52,50,52,49,62,60,67,,62,45,68,66,65,71,46,45,54,55,52,83,,273,217,269,252,298,269,260,276,256,287,247,252
6,Estación Central,Santiago,Metropolitana de Santiago,,Estación Central,4,0,7,3,8,19,4,8,8,13,12,14,,83,56,170,141,155,91,89,140,95,82,77,88,,5,5,3,8,12,7,10,10,11,6,10,4,,264,287,309,282,286,259,274,297,224,267,298,318,,6,7,5,5,8,6,3,2,5,9,7,6,,9,6,7,3,6,4,4,3,2,2,6,12,,84,65,83,69,74,53,83,56,84,69,96,68,,8,15,15,18,20,13,7,19,19,22,13,14,,92,87,84,95,106,73,71,87,77,76,99,107,,174,159,204,215,243,229,194,214,155,179,202,251,,71,65,77,77,72,60,69,82,75,88,78,94,,421,401,438,425,426,402,384,446,384,407,407,429
7,Huechuraba,Santiago,Metropolitana de Santiago,,Huechuraba,0,1,0,0,0,0,0,0,0,0,0,0,,13,26,30,41,1,19,4,12,61,7,28,1,,4,1,1,7,6,7,5,13,2,2,0,0,,138,104,131,118,95,102,136,160,105,129,95,122,,6,1,4,1,1,2,0,5,2,0,4,1,,0,2,3,0,2,3,4,2,6,3,1,1,,60,51,54,57,38,35,42,50,39,45,51,71,,2,4,8,6,9,8,7,5,2,7,9,7,,51,49,66,48,47,40,47,52,52,60,54,57,,36,25,54,36,31,36,40,43,42,45,41,43,,24,20,30,28,22,22,23,35,21,26,42,34,,155,130,184,143,155,155,170,172,158,196,169,188
