,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,,,
,,,,,,2018,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,Unidad Territorial,,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,
,Comuna,Provincia,Región,,Unidad Territorial,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,
1,Santiago,Santiago,Metropolitana de Santiago,,Santiago,0,0,0,0,0,0,0,0,0,1,0,1,,233,371,565,171,297,257,407,681,892,508,408,219,,8,9,14,20,20,11,10,7,16,13,19,8,,0,0,0,0,0,0,0,0,0,0,0,0,,25,33,36,29,29,26,24,34,31,38,39,40,,9,9,11,15,11,12,19,27,23,17,20,15,,159,145,145,129,198,200,193,220,226,254,226,244,,37,29,37,26,36,29,32,51,47,54,45,69,,186,149,216,175,181,191,204,220,216,279,250,268,,478,469,503,434,952,904,620,695,597,431,960,1.052,,114,136,135,87,120,93,170,111,158,167,169,186,,977,1.043,1.010,770,753,763,914,1.006,1.114,1.318,1.393,1.508,Santiago,33.414
2,Cerrillos,Santiago,Metropolitana de Santiago,,Cerrillos,0,0,0,0,0,0,0,0,0,0,0,0,,51,30,72,49,22,3,28,49,24,40,26,37,,2,5,4,1,0,0,0,2,1,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,6,3,5,4,2,0,2,0,4,0,6,6,,0,0,0,0,3,1,0,1,1,1,1,1,,55,48,47,46,50,60,74,51,50,62,74,65,,10,3,10,2,1,4,5,15,8,4,8,8,,46,46,41,41,63,46,57,56,58,61,48,70,,52,42,94,82,60,51,73,185,93,62,57,63,,26,24,19,15,26,19,24,25,11,24,34,27,,138,135,146,144,119,98,120,157,152,133,157,207,Cerrillos,4.785
3,Cerro Navia,Santiago,Metropolitana de Santiago,,Cerro Navia,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,6,21,2,3,0,14,27,23,34,3,,0,0,2,0,1,1,1,0,1,2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,4,3,4,1,3,3,4,6,8,4,,2,4,1,1,0,4,2,1,2,2,1,2,,87,41,72,64,79,85,87,87,105,78,90,89,,8,9,6,3,8,7,8,10,12,15,13,14,,82,69,84,92,90,109,118,101,101,126,117,116,,38,31,29,33,35,33,27,19,33,30,37,49,,47,33,50,39,27,30,39,29,34,34,40,52,,97,105,136,138,113,98,129,117,128,146,140,128,Cerro Navia,4.817
4,Conchalí,Santiago,Metropolitana de Santiago,,Conchalí,0,0,0,0,0,0,0,0,0,0,0,0,,15,13,6,5,6,1,12,30,27,33,13,1,,1,1,2,1,0,1,3,3,6,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,1,4,5,0,3,2,2,1,1,,0,1,2,0,0,0,2,3,0,2,1,3,,70,64,90,66,66,74,81,79,88,76,97,71,,13,11,11,9,17,6,7,18,9,22,20,27,,80,76,80,61,67,72,78,88,88,89,116,102,,42,28,37,46,35,39,44,45,41,46,41,54,,42,30,33,37,30,27,22,35,31,34,47,43,,136,138,164,138,113,126,151,138,134,179,172,148,Conchalí,4.957
5,El Bosque,Santiago,Metropolitana de Santiago,,El Bosque,0,0,0,0,0,0,0,0,0,0,0,0,,26,17,14,18,4,7,16,12,20,23,14,1,,3,1,2,1,0,0,0,1,3,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,1,1,0,0,3,1,1,0,0,,2,4,2,2,1,1,0,2,1,2,0,0,,91,65,69,67,86,70,86,77,78,77,102,94,,15,3,14,4,3,9,12,17,27,14,20,12,,138,121,117,111,86,117,122,114,129,138,133,123,,43,35,39,33,37,42,46,56,54,52,46,54,,55,29,39,40,26,26,30,41,42,39,58,39,,164,158,185,144,140,176,158,169,152,161,172,172,El Bosque,5.727
6,Estación Central,Santiago,Metropolitana de Santiago,,Estación Central,0,0,0,0,0,0,0,0,0,0,0,0,,16,19,32,25,14,11,10,5,11,23,9,21,,1,1,0,1,1,0,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,6,4,6,2,3,5,4,4,8,9,,1,4,1,4,5,4,10,5,4,10,7,5,,69,59,77,80,84,84,99,129,100,130,95,128,,8,9,10,10,8,6,9,12,14,18,20,14,,99,74,81,61,88,76,92,85,113,115,107,110,,101,81,148,116,107,96,129,113,146,134,91,124,,62,48,43,51,53,47,46,54,56,80,69,81,,317,291,332,242,192,206,276,318,290,320,342,417,Estación Central,8.316
7,Huechuraba,Santiago,Metropolitana de Santiago,,Huechuraba,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,4,0,2,6,6,10,30,21,4,0,,0,1,4,0,0,2,1,5,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,0,2,2,2,2,5,2,4,5,,3,1,6,0,4,0,4,4,3,2,4,2,,40,37,61,44,54,52,64,47,67,56,63,77,,8,6,9,2,3,5,12,6,11,8,11,11,,54,44,47,47,58,54,54,78,78,81,81,83,,43,40,52,41,47,36,44,36,47,45,42,55,,37,18,13,16,14,15,18,18,17,31,37,34,,102,97,112,64,98,84,117,143,140,120,146,139,Huechuraba,3.837
8,Independencia,Santiago,Metropolitana de Santiago,,Independencia,0,0,0,0,0,0,0,0,0,0,0,0,,32,22,22,33,56,63,42,38,45,39,47,27,,10,6,3,3,2,2,2,1,4,3,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,,3,7,3,2,3,7,5,6,4,4,3,4,,2,0,1,3,1,2,4,1,2,0,3,1,,47,48,50,43,49,87,76,52,67,69,72,71,,11,11,14,3,11,7,11,14,8,5,20,11,,56,63,67,54,46,62,74,57,75,58,71,73,,45,40,49,43,70,47,48,71,58,79,63,61,,26,33,31,26,32,31,37,34,37,42,52,49,,119,138,152,153,138,130,138,175,135,176,198,196,Independencia,5.150
9,La Cisterna,Santiago,Metropolitana de Santiago,,La Cisterna,0,0,0,0,0,0,0,0,0,0,0,0,,3,10,10,3,8,4,5,8,0,13,9,3,,1,0,0,0,0,0,2,1,0,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,6,3,5,5,3,1,1,5,2,2,,1,0,0,0,1,1,0,0,2,0,0,0,,52,42,35,41,56,86,69,41,66,55,70,51,,8,7,18,5,7,13,4,12,11,13,14,12,,51,40,51,60,47,68,53,53,59,87,77,83,,48,43,77,77,76,61,54,50,60,69,57,66,,25,28,32,42,24,31,14,18,28,25,28,28,,153,178,202,174,173,145,167,187,188,199,219,215,La Cisterna,4.904
10,La Florida,Santiago,Metropolitana de Santiago,,La Florida,0,0,0,0,0,0,1,0,0,0,0,0,,188,44,64,70,52,79,79,67,109,124,104,36,,12,11,13,10,8,12,7,14,6,13,14,8,,0,0,0,0,0,0,0,0,0,0,0,0,,9,2,6,6,8,11,4,14,9,13,10,13,,0,4,2,1,0,2,0,1,0,1,0,3,,170,132,169,151,155,175,209,234,221,212,237,242,,25,18,29,21,20,27,26,27,20,34,24,28,,190,189,187,157,173,183,216,238,244,228,226,241,,151,110,174,123,113,124,140,204,171,205,212,221,,88,80,72,76,57,69,68,81,78,84,94,105,,396,345,346,277,222,295,300,325,397,417,379,425,La Florida,13.366
11,La Granja,Santiago,Metropolitana de Santiago,,La Granja,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,12,2,13,2,4,3,24,12,8,4,,0,0,0,3,1,0,0,1,1,2,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,0,4,1,0,4,0,1,4,2,,0,0,0,1,1,0,0,1,0,1,3,1,,70,48,63,71,68,63,81,84,51,88,76,90,,3,5,15,6,7,8,15,15,13,14,9,6,,95,74,94,88,78,81,73,109,89,111,91,100,,62,43,107,56,64,65,60,77,49,65,59,65,,30,35,33,27,27,25,31,37,20,41,29,60,,117,116,156,135,106,141,127,141,148,151,146,157,La Granja,4.986
12,La Pintana,Santiago,Metropolitana de Santiago,,La Pintana,0,0,0,0,0,0,0,0,0,0,0,0,,14,14,10,6,8,17,15,8,12,13,3,13,,1,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,2,3,1,2,1,3,3,1,3,,2,1,1,2,1,1,0,0,1,3,3,1,,93,86,89,67,101,100,102,132,128,121,139,121,,19,9,21,21,19,8,18,32,17,17,25,15,,133,107,98,99,118,106,130,145,141,137,154,192,,44,46,50,36,56,59,59,53,58,76,65,72,,64,51,64,45,35,40,43,43,56,64,78,80,,146,156,161,151,115,142,169,155,185,165,160,199,La Pintana,6.475
