"Santiago",199,158,199,212,183,188,198,188,192,203,254,230
"Cerrillos",57,38,31,28,27,21,24,26,17,21,33,25
"Cerro Navia",48,37,45,32,23,32,31,44,37,57,46,55
"Conchalí",51,34,55,46,43,41,39,41,37,33,41,50
"El Bosque",41,35,43,62,48,37,54,62,59,53,69,79
"Estación Central",59,40,71,50,53,51,64,53,73,67,75,66
"Huechuraba",36,26,30,24,28,20,18,13,30,23,31,26
"Independencia",39,30,49,39,31,33,30,35,28,40,43,47
"La Cisterna",34,31,40,36,28,34,29,35,37,37,33,36
"La Florida",121,114,132,128,107,109,113,115,128,151,147,157
"La Granja",62,40,44,46,40,49,44,47,49,55,63,48
"La Pintana",80,57,86,69,67,74,78,71,72,85,103,105
"La Reina",29,16,22,13,27,22,22,22,21,24,31,35
"Las Condes",50,30,49,33,41,38,35,52,44,48,51,50
"Lo Barnechea",23,21,18,32,30,23,21,15,24,32,25,28
"Lo Espejo",46,28,37,25,25,26,30,33,28,40,33,46
"Lo Prado",40,24,34,27,24,21,25,23,33,29,41,32
"Macul",26,32,51,31,23,30,27,27,37,35,34,29
"Maipú",122,88,116,118,105,102,97,109,114,99,130,114
"Ñuñoa",50,40,60,50,42,48,44,44,59,49,61,63
"Pedro Aguirre Cerda",38,31,58,37,24,36,24,34,21,49,37,32
"Peñalolén",90,48,83,70,71,64,61,76,79,74,68,84
"Providencia",60,49,68,54,52,65,49,46,51,72,65,66
"Pudahuel",64,81,65,83,56,53,96,69,69,84,74,74
"Quilicura",76,54,77,68,59,51,35,59,76,65,82,73
"Quinta Normal",45,32,63,36,38,31,34,45,36,36,56,48
"Recoleta",84,70,96,88,66,72,62,91,96,90,99,81
"Renca",53,45,57,44,47,42,36,43,59,52,57,74
"San Joaquín",30,29,28,30,26,20,26,21,33,30,51,39
"San Miguel",40,27,28,27,23,31,28,36,24,25,34,45
"San Ramón",33,31,49,25,22,26,28,35,44,39,47,39
"Vitacura",15,9,14,16,18,14,14,11,10,7,13,15
"Puente Alto",239,196,221,180,176,161,156,196,193,202,225,237
"Pirque",11,2,6,2,4,7,8,4,4,6,8,10
"San José de Maipo",14,11,13,5,6,4,3,6,9,8,12,7
"Colina",44,43,51,51,37,32,46,46,65,47,66,76
"Lampa",44,40,46,36,27,27,29,53,50,44,36,49
"Tiltil",6,12,7,7,8,7,1,10,10,11,11,9
"San Bernardo",127,93,131,87,127,78,88,128,114,135,145,121
"Buin",21,21,24,21,30,21,22,20,37,30,30,31
"Calera de Tango",11,6,6,6,10,6,7,5,4,10,6,9
"Paine",25,20,30,17,21,16,16,20,24,16,25,22
"Melipilla",50,55,45,47,43,42,41,57,50,55,62,54
"Alhué",2,3,2,0,1,1,1,5,3,2,1,2
"Curacaví",15,14,12,11,11,15,11,19,15,18,12,16
"María Pinto",6,3,9,4,4,3,5,3,2,3,2,5
"San Pedro",2,3,2,1,0,3,2,2,1,2,1,2
"Talagante",29,33,28,22,24,20,10,18,16,25,34,26
"El Monte",9,8,21,7,7,6,10,14,14,20,10,7
"Isla de Maipo",15,11,6,9,13,4,7,14,8,10,8,12
"Padre Hurtado",24,15,11,17,14,16,15,14,16,14,18,22
"Peñaflor",37,28,28,20,21,32,22,20,23,31,46,42
