"Santiago",13,14,20,25,12,19,20,24,17,19,24,33
"Cerrillos",0,0,1,1,1,0,1,2,0,0,3,1
"Cerro Navia",1,0,1,0,2,0,2,1,0,2,2,4
"Conchalí",4,6,0,1,1,0,2,1,2,1,1,1
"El Bosque",0,1,2,1,3,4,2,0,1,0,1,3
"Estación Central",7,3,4,3,4,5,4,10,10,4,8,15
"Huechuraba",2,2,4,1,2,5,6,6,3,4,1,6
"Independencia",3,2,2,3,1,3,4,3,1,1,3,5
"La Cisterna",2,1,0,1,1,0,1,0,0,1,0,0
"La Florida",0,0,0,2,0,0,3,1,0,0,2,1
"La Granja",2,0,1,0,1,0,1,0,1,1,0,0
"La Pintana",0,3,2,0,0,2,1,0,0,0,0,1
"La Reina",0,0,0,0,0,0,0,0,0,0,0,0
"Las Condes",0,0,0,0,0,1,0,0,1,1,2,0
"Lo Barnechea",0,0,0,0,0,0,0,0,0,0,1,0
"Lo Espejo",2,0,0,2,1,1,1,0,0,1,0,0
"Lo Prado",1,2,1,2,2,1,0,1,1,0,2,3
"Macul",1,0,0,0,1,0,0,0,0,0,0,0
"Maipú",3,5,6,6,1,0,1,3,3,3,12,2
"Ñuñoa",0,1,0,1,2,0,0,0,0,1,0,1
"Pedro Aguirre Cerda",0,1,0,2,0,0,1,0,0,2,0,1
"Peñalolén",0,0,0,0,1,0,0,1,0,0,0,0
"Providencia",0,0,0,1,0,1,0,1,0,2,0,0
"Pudahuel",4,5,5,4,2,3,0,1,2,5,4,5
"Quilicura",1,3,2,1,2,1,2,2,5,4,3,3
"Quinta Normal",3,1,1,3,4,1,3,0,2,2,1,3
"Recoleta",8,6,9,8,4,1,7,9,4,11,10,10
"Renca",4,1,4,2,2,5,1,3,3,7,4,6
"San Joaquín",1,1,0,1,0,0,0,0,0,1,1,1
"San Miguel",1,2,0,0,0,0,0,1,0,0,1,2
"San Ramón",0,2,0,0,0,1,0,0,0,0,2,2
"Vitacura",0,0,1,0,0,0,1,0,0,1,0,0
"Puente Alto",4,4,5,8,2,7,6,13,8,5,2,8
"Pirque",0,0,0,1,0,0,1,1,0,0,1,1
"San José de Maipo",1,0,0,0,0,0,1,0,0,0,0,0
"Colina",0,1,1,0,0,0,1,1,1,1,0,0
"Lampa",1,2,1,4,0,0,2,6,2,3,2,5
"Tiltil",0,1,0,0,2,1,1,0,0,1,0,2
"San Bernardo",3,3,5,1,0,0,1,0,0,0,0,0
"Buin",2,1,1,1,1,2,0,1,2,2,0,1
"Calera de Tango",0,0,0,0,0,0,0,0,0,1,0,0
"Paine",1,0,0,1,0,1,1,0,1,0,0,0
"Melipilla",2,1,0,3,0,0,3,0,0,0,2,0
"Alhué",0,0,0,0,0,0,0,0,0,0,0,0
"Curacaví",0,0,0,3,1,0,0,0,2,0,1,0
"María Pinto",1,0,0,0,0,0,0,0,0,0,0,0
"San Pedro",0,0,0,1,0,0,0,0,0,0,0,0
"Talagante",0,0,0,0,0,1,0,0,0,0,0,2
"El Monte",1,0,0,0,0,0,0,0,0,0,1,0
"Isla de Maipo",0,0,0,0,0,0,0,0,0,0,0,0
"Padre Hurtado",0,0,0,1,0,0,0,0,0,1,0,0
"Peñaflor",1,0,1,2,1,1,0,0,1,0,1,0
