"Santiago",218,155,171,181,187,156,172,171,214,187,181,190
"Cerrillos",58,57,51,50,48,48,45,44,48,46,55,65
"Cerro Navia",65,68,68,52,47,47,68,53,88,70,81,90
"Conchalí",56,45,65,41,39,54,42,48,61,51,72,62
"El Bosque",97,90,96,85,71,66,65,73,76,74,72,73
"Estación Central",69,50,79,49,50,47,73,80,62,66,73,81
"Huechuraba",55,61,62,42,43,51,54,53,50,60,58,50
"Independencia",59,72,55,47,53,55,55,57,33,47,40,49
"La Cisterna",31,37,43,29,30,30,39,36,36,38,37,27
"La Florida",255,163,203,155,166,143,135,192,178,177,210,232
"La Granja",90,64,63,67,43,63,60,54,55,78,62,78
"La Pintana",139,113,120,104,97,98,111,110,123,118,123,129
"La Reina",41,31,30,32,29,27,23,15,26,25,31,20
"Las Condes",51,41,61,61,61,48,52,58,55,64,55,58
"Lo Barnechea",41,33,33,44,25,28,21,25,21,28,26,36
"Lo Espejo",66,48,55,42,47,28,36,51,49,45,74,55
"Lo Prado",41,35,43,50,37,25,29,32,48,40,45,67
"Macul",85,50,67,49,54,30,43,70,64,69,76,102
"Maipú",257,248,260,214,206,224,250,275,234,234,277,271
"Ñuñoa",70,67,75,66,55,64,68,52,58,71,68,76
"Pedro Aguirre Cerda",76,43,53,43,57,50,44,45,44,59,64,57
"Peñalolén",150,99,119,89,98,94,106,96,92,115,131,132
"Providencia",38,32,43,41,31,29,33,25,31,28,30,49
"Pudahuel",143,115,138,125,113,93,109,104,119,136,136,156
"Quilicura",144,108,113,80,89,87,102,103,102,135,129,128
"Quinta Normal",88,61,79,56,50,52,53,79,77,74,82,103
"Recoleta",99,73,82,63,72,65,70,93,94,89,81,105
"Renca",115,69,85,78,95,81,56,89,76,95,95,99
"San Joaquín",53,38,39,38,28,33,39,44,41,39,32,37
"San Miguel",54,49,36,32,48,37,38,40,40,46,50,49
"San Ramón",56,39,40,28,36,43,41,38,38,40,53,34
"Vitacura",16,10,13,16,17,9,14,15,9,16,21,11
"Puente Alto",366,353,392,318,353,370,339,364,376,379,427,429
"Pirque",17,13,21,15,10,9,12,17,14,16,13,15
"San José de Maipo",25,12,15,10,8,7,16,15,9,12,18,11
"Colina",63,74,63,58,60,45,39,66,54,60,68,88
"Lampa",86,41,81,53,53,47,55,52,76,73,71,67
"Tiltil",13,14,14,9,11,12,10,9,22,14,12,12
"San Bernardo",237,167,234,226,162,175,147,180,170,192,204,181
"Buin",61,40,55,35,33,55,42,43,54,72,54,64
"Calera de Tango",9,7,7,13,12,9,5,8,14,11,14,9
"Paine",42,34,35,30,28,35,32,37,28,48,40,41
"Melipilla",87,61,85,83,72,60,63,83,77,82,73,87
"Alhué",2,2,3,1,3,3,1,4,3,6,7,4
"Curacaví",22,24,15,9,17,11,14,16,21,21,13,24
"María Pinto",16,3,11,5,6,10,8,10,20,5,11,12
"San Pedro",2,6,4,2,2,5,5,4,9,4,9,11
"Talagante",57,50,44,32,45,38,40,45,47,46,52,45
"El Monte",42,33,31,13,21,18,17,24,36,28,21,24
"Isla de Maipo",24,35,20,14,28,21,26,17,22,19,17,14
"Padre Hurtado",50,28,33,29,26,20,34,30,32,36,46,47
"Peñaflor",90,53,71,52,44,46,64,60,73,65,63,37
