"Santiago",,"Consumo de alcohol vía pública",,,,,,,,,,
"Cerrillos",2017,,,,,,,,,,,
"Cerro Navia","TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
"Conchalí",1,2,3,4,5,6,7,8,9,10,11,12
"El Bosque",954,697,962,789,606,598,606,807,1017,979,840,408
"Estación Central",50,23,48,14,11,31,60,71,44,25,43,46
"Huechuraba",57,31,57,51,41,42,22,37,31,61,50,30
"Independencia",38,60,126,92,45,64,75,55,22,67,40,16
"La Cisterna",55,49,54,83,164,226,105,78,57,92,53,44
"La Florida",307,221,387,264,204,148,121,143,79,61,61,67
"La Granja",36,24,54,35,14,8,10,11,48,76,35,4
"La Pintana",122,144,188,238,77,80,116,225,284,197,212,162
"La Reina",13,15,22,23,21,9,19,26,12,11,24,16
"Las Condes",114,108,201,281,227,138,113,233,114,155,147,200
"Lo Barnechea",14,47,68,55,27,36,58,37,28,39,43,46
"Lo Espejo",29,24,30,17,10,74,12,34,45,77,42,36
"Lo Prado",40,48,67,69,53,38,31,45,36,31,23,39
"Macul",137,193,147,182,104,60,99,138,102,221,109,165
"Maipú",49,55,19,10,11,6,4,9,31,130,231,259
"Ñuñoa",6,3,3,9,7,12,4,10,13,22,7,5
"Pedro Aguirre Cerda",115,94,45,151,83,89,84,107,105,114,120,63
"Peñalolén",46,57,84,42,19,2,26,167,257,307,287,185
"Providencia",71,79,166,123,138,121,128,106,135,186,200,338
"Pudahuel",222,328,396,493,507,158,347,306,317,335,215,300
"Quilicura",97,64,57,63,36,49,42,37,39,36,25,40
"Quinta Normal",44,115,102,76,64,62,54,116,125,76,102,119
"Recoleta",389,328,328,126,100,72,125,83,181,193,213,199
"Renca",230,199,254,128,100,83,55,165,92,163,189,104
"San Joaquín",88,54,97,63,37,40,31,61,73,69,28,20
"San Miguel",61,61,59,37,18,26,28,50,32,67,48,76
"San Ramón",117,119,195,226,370,469,358,280,338,504,426,544
"Vitacura",29,55,42,26,24,13,23,31,21,20,32,19
"Puente Alto",69,47,35,39,17,13,22,23,9,23,42,13
"Pirque",27,30,28,21,19,24,25,11,50,36,34,49
"San José de Maipo",1,6,8,6,2,4,1,2,2,0,5,1
"Colina",51,14,53,50,43,51,12,38,28,27,16,15
"Lampa",342,207,240,337,160,285,361,215,167,183,182,174
"Tiltil",6,13,11,1,4,8,3,16,28,9,4,19
"San Bernardo",19,42,80,59,19,27,15,30,30,16,33,48
"Buin",28,23,36,54,37,24,15,9,9,27,10,12
"Calera de Tango",55,120,73,40,36,55,52,26,23,44,31,77
"Paine",14,5,31,14,6,4,6,4,3,13,6,10
"Melipilla",82,80,77,106,101,60,73,164,82,108,79,95
"Alhué",94,226,171,145,156,142,121,69,79,63,79,48
"Curacaví",4,11,2,8,2,13,20,7,5,8,10,28
"María Pinto",31,21,66,43,55,58,74,39,47,30,74,64
"San Pedro",239,206,289,236,249,223,207,217,190,161,111,60
"Talagante",17,20,21,16,3,2,7,11,10,7,19,19
"El Monte",22,10,32,22,32,14,11,31,28,37,55,48
"Isla de Maipo",2,1,1,1,1,2,3,2,4,2,6,1
"Padre Hurtado",0,1,1,0,0,0,0,0,0,0,0,0
"Peñaflor",58,66,118,150,105,59,51,62,88,99,76,64
,42,92,155,145,125,87,68,103,84,104,135,155
,93,124,138,153,105,81,121,88,193,199,241,276
,88,45,81,53,42,26,55,56,17,58,81,71
,63,52,59,21,12,40,41,85,56,80,54,45
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2017,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,12.797,13.028,14.451,13.102,10.816,10.257,10.685,11.895,13.074,13.391,13.374,12.564
,4.977,4.757,6.064,5.486,4.449,4.056,4.120,4.776,4.910,5.648,5.228,4.942
,3.678,3.392,4.382,3.882,3.199,2.846,2.816,3.542,3.767,4.400,3.942,3.628
,367,262,331,397,183,320,379,261,225,208,219,241
,97,148,140,108,79,83,73,39,35,84,47,99
,211,338,316,302,314,273,288,279,213,209,242,235
,280,238,344,275,285,241,228,261,232,207,191,128
,344,379,551,522,389,293,336,394,438,540,587,611
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
