"Santiago",62,63,80,139,89,120,119,101,111,88,85,62
"Cerrillos",4,4,7,9,9,15,15,4,5,6,3,3
"Cerro Navia",5,5,10,3,17,11,15,17,12,3,5,4
"Conchalí",18,9,4,28,14,78,82,45,18,13,13,16
"El Bosque",12,12,19,28,16,10,20,31,16,14,6,16
"Estación Central",5,5,3,8,12,7,10,10,11,6,10,4
"Huechuraba",4,1,1,7,6,7,5,13,2,2,0,0
"Independencia",54,15,32,53,72,14,57,78,16,15,15,14
"La Cisterna",5,3,2,14,4,5,5,3,8,5,7,2
"La Florida",22,13,29,19,23,40,59,48,47,30,37,39
"La Granja",5,2,15,13,1,9,14,10,19,17,8,4
"La Pintana",1,5,3,13,5,8,4,5,14,2,7,8
"La Reina",5,12,19,22,14,24,32,16,29,29,8,16
"Las Condes",18,29,31,59,51,12,9,34,46,20,15,17
"Lo Barnechea",2,4,3,1,2,1,0,2,1,3,4,6
"Lo Espejo",1,2,3,4,3,3,6,3,5,4,3,3
"Lo Prado",12,60,37,60,27,33,31,37,37,24,22,23
"Macul",16,101,36,58,52,21,18,120,34,5,5,15
"Maipú",13,17,23,26,20,10,12,21,13,10,8,7
"Ñuñoa",63,66,76,142,66,36,51,97,80,59,32,26
"Pedro Aguirre Cerda",2,5,24,14,11,10,7,10,25,2,18,12
"Peñalolén",27,46,51,23,48,64,27,76,46,30,25,57
"Providencia",41,20,39,39,42,19,21,20,13,21,25,16
"Pudahuel",12,13,23,13,14,10,17,11,22,27,11,34
"Quilicura",8,3,21,26,9,6,6,12,13,3,7,9
"Quinta Normal",10,7,13,16,10,28,22,18,21,9,17,8
"Recoleta",70,41,85,113,60,65,34,72,65,51,58,36
"Renca",10,3,7,10,10,4,15,13,13,9,4,10
"San Joaquín",5,3,7,4,2,4,8,1,4,5,3,8
"San Miguel",4,1,17,46,11,11,11,16,13,13,5,3
"San Ramón",7,5,3,12,5,7,11,12,19,10,5,2
"Vitacura",8,10,11,8,5,9,8,7,7,11,6,11
"Puente Alto",161,160,170,171,134,76,217,211,117,89,53,53
"Pirque",0,2,3,4,5,2,8,6,3,7,2,0
"San José de Maipo",6,7,4,4,20,17,5,6,4,3,9,5
"Colina",11,5,13,9,17,19,22,18,17,7,7,9
"Lampa",22,19,15,19,22,12,16,5,6,6,4,6
"Tiltil",3,3,3,4,11,8,10,13,6,7,1,6
"San Bernardo",14,11,9,13,9,8,13,9,9,9,6,14
"Buin",5,2,5,5,9,9,7,15,13,7,11,8
"Calera de Tango",11,14,3,3,11,4,5,4,10,0,5,7
"Paine",10,5,8,10,5,5,16,5,4,2,1,5
"Melipilla",18,27,23,13,31,12,12,31,12,20,19,4
"Alhué",10,9,9,5,5,6,6,23,12,13,8,12
"Curacaví",8,9,14,12,8,26,7,9,10,7,5,6
"María Pinto",0,3,3,7,2,1,2,5,6,2,0,0
"San Pedro",0,0,2,4,2,3,1,0,1,1,2,4
"Talagante",20,34,40,40,33,27,22,26,31,24,37,14
"El Monte",6,16,42,26,66,38,54,40,63,50,22,26
"Isla de Maipo",20,12,14,13,18,15,8,40,22,30,41,25
"Padre Hurtado",17,14,32,33,40,37,26,25,26,24,26,13
"Peñaflor",8,2,7,17,16,11,7,11,11,2,9,3
