"Santiago",34,47,58,28,46,28,37,53,41,36,38,67
"Cerrillos",6,2,10,12,7,11,2,12,2,7,8,13
"Cerro Navia",11,8,18,48,15,13,4,13,10,17,11,22
"Conchalí",4,15,9,10,8,7,9,11,13,14,12,21
"El Bosque",9,10,9,12,17,10,14,15,11,9,11,18
"Estación Central",6,9,24,12,16,15,12,19,19,12,19,19
"Huechuraba",11,5,8,6,3,12,6,9,12,13,11,12
"Independencia",4,8,15,14,10,10,11,16,9,13,7,14
"La Cisterna",7,6,10,12,11,4,3,6,13,9,7,14
"La Florida",15,20,38,36,23,13,25,25,22,17,29,35
"La Granja",10,7,12,17,13,8,6,7,10,13,9,15
"La Pintana",19,12,18,25,31,23,15,22,23,20,22,33
"La Reina",7,4,13,6,3,3,4,8,11,5,8,8
"Las Condes",9,9,11,9,14,11,14,7,7,7,6,18
"Lo Barnechea",2,8,9,4,5,12,4,4,8,9,8,2
"Lo Espejo",7,8,12,19,7,8,8,11,5,7,7,9
"Lo Prado",12,8,5,7,5,8,11,14,14,4,12,13
"Macul",5,3,10,16,7,8,5,10,6,5,14,14
"Maipú",31,30,34,29,29,39,25,54,38,31,22,57
"Ñuñoa",7,8,9,16,7,15,4,15,10,5,7,28
"Pedro Aguirre Cerda",2,6,7,15,8,6,5,18,9,14,6,13
"Peñalolén",18,11,23,21,21,18,17,24,20,14,15,33
"Providencia",7,5,13,7,5,8,5,12,15,6,5,22
"Pudahuel",22,13,28,19,28,19,14,18,13,29,17,31
"Quilicura",10,11,21,23,15,28,22,17,19,13,13,39
"Quinta Normal",6,5,9,6,12,8,12,12,10,11,8,18
"Recoleta",16,12,13,23,15,28,14,20,11,16,21,22
"Renca",10,8,20,22,11,15,18,26,20,15,14,10
"San Joaquín",4,8,14,9,5,8,8,9,3,6,3,8
"San Miguel",6,4,9,5,12,6,7,8,6,12,21,17
"San Ramón",9,2,6,8,12,7,5,9,5,7,9,6
"Vitacura",0,3,0,5,2,4,0,4,0,3,0,7
"Puente Alto",35,37,54,44,56,40,37,46,42,29,46,84
"Pirque",2,2,4,4,1,3,5,3,1,4,0,0
"San José de Maipo",1,0,1,0,3,2,3,1,0,0,2,4
"Colina",8,7,18,16,9,9,12,6,10,19,12,26
"Lampa",9,11,11,8,13,7,4,16,9,3,9,14
"Tiltil",3,2,0,2,6,2,2,3,2,1,2,3
"San Bernardo",17,19,31,30,25,21,22,18,29,23,20,43
"Buin",8,4,9,10,15,8,1,10,15,8,6,9
"Calera de Tango",1,1,0,1,3,3,0,3,3,3,1,1
"Paine",4,2,9,8,7,11,5,12,8,7,15,11
"Melipilla",10,4,9,16,3,5,8,18,15,11,17,26
"Alhué",0,2,0,0,0,0,0,1,5,0,0,0
"Curacaví",3,3,7,5,4,4,2,5,0,1,3,8
"María Pinto",1,2,1,1,0,1,2,1,1,0,1,1
"San Pedro",2,1,0,5,0,2,0,0,0,1,0,1
"Talagante",0,3,4,10,4,3,7,5,4,10,4,7
"El Monte",3,1,1,4,1,4,3,3,1,5,4,2
"Isla de Maipo",3,1,2,2,3,4,3,4,4,2,2,2
"Padre Hurtado",3,10,7,1,3,4,3,3,3,8,6,8
"Peñaflor",7,5,5,13,11,7,11,9,11,14,5,10
