"Santiago",259,233,293,274,271,258,272,288,265,298,265,302
"Cerrillos",47,48,63,66,69,56,80,58,59,61,81,66
"Cerro Navia",98,79,105,79,68,80,72,94,87,84,99,87
"Conchalí",117,72,94,100,82,70,114,102,119,78,92,113
"El Bosque",145,145,134,139,137,129,107,163,130,127,137,140
"Estación Central",92,94,84,113,96,79,78,115,101,105,117,113
"Huechuraba",52,49,64,73,48,50,50,66,76,69,62,58
"Independencia",58,43,75,59,62,52,55,60,63,62,72,91
"La Cisterna",55,54,78,58,74,37,54,64,50,66,52,60
"La Florida",241,188,222,198,175,227,188,246,220,252,235,233
"La Granja",106,82,88,86,78,89,88,99,97,79,96,89
"La Pintana",195,149,166,113,159,122,141,141,136,129,131,147
"La Reina",27,34,38,31,30,40,31,44,30,34,25,49
"Las Condes",81,49,68,54,71,65,79,79,67,74,73,78
"Lo Barnechea",36,37,43,39,31,31,28,31,39,41,17,32
"Lo Espejo",77,75,84,65,99,78,98,71,81,103,87,79
"Lo Prado",51,55,55,77,54,62,78,72,72,69,74,66
"Macul",61,56,58,68,60,44,55,53,59,76,67,87
"Maipú",239,210,275,241,281,222,250,274,263,267,270,310
"Ñuñoa",66,51,75,69,65,50,68,77,64,70,72,83
"Pedro Aguirre Cerda",97,90,116,90,75,80,101,93,100,78,78,105
"Peñalolén",179,128,140,142,165,144,145,164,153,132,145,184
"Providencia",68,57,75,66,60,69,59,61,50,60,69,59
"Pudahuel",134,133,144,137,161,143,149,156,170,157,174,167
"Quilicura",152,126,147,129,123,106,128,153,141,134,147,170
"Quinta Normal",82,83,93,99,84,100,110,104,103,113,98,108
"Recoleta",147,127,138,163,121,142,132,153,168,148,140,140
"Renca",106,118,125,119,121,74,106,107,104,105,94,126
"San Joaquín",62,50,72,45,59,57,57,70,61,60,62,69
"San Miguel",43,46,72,80,83,50,66,75,54,64,77,99
"San Ramón",68,57,83,59,51,75,62,61,62,76,71,70
"Vitacura",15,9,19,15,14,23,22,13,14,23,24,25
"Puente Alto",518,385,471,429,451,382,402,465,426,441,416,525
"Pirque",15,11,31,20,10,23,13,20,24,13,24,23
"San José de Maipo",27,17,19,21,15,17,24,13,16,13,18,20
"Colina",98,86,113,69,85,78,102,106,121,101,115,112
"Lampa",100,62,76,78,73,63,78,80,81,86,82,79
"Tiltil",17,12,20,21,16,21,20,23,20,25,22,19
"San Bernardo",271,232,304,265,279,255,265,289,290,292,250,278
"Buin",76,70,62,62,61,63,72,66,67,89,88,94
"Calera de Tango",16,15,23,23,23,16,18,15,14,23,24,27
"Paine",49,46,50,47,41,49,70,60,44,39,67,47
"Melipilla",126,122,133,112,117,121,124,142,140,113,132,130
"Alhué",8,5,8,5,2,1,5,4,6,8,6,7
"Curacaví",40,22,26,25,41,27,30,33,21,39,41,32
"María Pinto",17,10,8,3,12,9,4,9,9,11,14,12
"San Pedro",4,4,12,7,9,3,9,6,5,4,5,7
"Talagante",49,47,50,40,52,49,48,72,61,69,52,62
"El Monte",19,23,22,18,24,32,15,34,26,27,29,27
"Isla de Maipo",24,25,37,22,16,22,25,28,34,18,15,25
"Padre Hurtado",31,36,38,47,52,32,50,45,57,52,42,66
"Peñaflor",59,47,67,64,67,62,63,63,73,55,60,65
