"Santiago",641,537,889,956,593,675,701,777,417,271,34,75
"Cerrillos",27,13,39,55,29,28,21,13,10,16,0,5
"Cerro Navia",26,23,30,28,16,25,46,31,23,16,0,4
"Conchalí",43,29,42,9,28,12,15,62,18,1,7,4
"El Bosque",25,23,30,40,18,38,50,22,44,24,3,5
"Estación Central",36,93,90,33,50,35,27,31,15,18,2,7
"Huechuraba",4,3,9,1,9,2,1,10,5,0,0,2
"Independencia",96,64,120,68,44,33,101,99,90,37,13,17
"La Cisterna",21,2,7,18,12,14,15,10,15,15,0,23
"La Florida",142,110,167,265,157,63,42,201,126,71,41,42
"La Granja",33,26,67,62,66,21,45,79,56,17,53,29
"La Pintana",5,16,26,22,63,41,39,49,35,53,3,8
"La Reina",103,75,77,178,102,48,37,84,58,53,13,17
"Las Condes",49,55,117,139,113,97,69,51,49,36,8,14
"Lo Barnechea",25,5,12,26,4,8,2,4,4,5,6,0
"Lo Espejo",3,14,8,7,12,10,9,11,12,15,0,2
"Lo Prado",20,44,54,34,33,30,47,32,41,11,3,3
"Macul",98,84,153,209,172,56,76,199,136,221,5,3
"Maipú",64,67,168,321,180,59,167,138,186,96,8,8
"Ñuñoa",167,156,189,202,300,109,230,338,279,291,2,30
"Pedro Aguirre Cerda",69,52,138,138,58,79,106,85,74,48,14,12
"Peñalolén",25,29,35,66,113,102,116,126,147,41,8,3
"Providencia",135,70,133,124,86,113,126,259,270,96,17,19
"Pudahuel",99,43,115,129,95,80,78,132,81,63,16,8
"Quilicura",114,30,29,20,42,47,53,32,56,55,0,2
"Quinta Normal",236,116,209,128,173,150,102,118,75,90,17,27
"Recoleta",165,171,146,130,129,171,227,271,265,153,10,18
"Renca",32,30,47,57,27,25,10,7,10,5,2,0
"San Joaquín",26,17,140,106,72,133,38,200,148,82,6,12
"San Miguel",24,50,2,63,28,61,45,101,79,69,4,0
"San Ramón",10,3,27,2,2,2,2,16,3,6,1,2
"Vitacura",32,13,21,28,31,14,19,16,10,13,5,16
"Puente Alto",171,246,193,175,366,179,188,274,173,96,41,62
"Pirque",5,0,1,10,7,8,10,9,10,9,10,6
"San José de Maipo",106,52,86,95,80,29,41,44,31,30,33,19
"Colina",52,74,45,33,22,36,58,79,46,28,4,3
"Lampa",47,19,20,13,18,14,21,15,19,17,8,11
"Tiltil",20,9,14,14,9,10,11,5,12,12,6,0
"San Bernardo",74,87,89,118,121,87,177,264,158,119,1,12
"Buin",23,38,96,95,105,40,28,109,88,57,20,35
"Calera de Tango",29,13,32,25,24,11,4,22,12,14,22,10
"Paine",10,12,8,14,16,12,18,32,25,9,5,5
"Melipilla",86,38,64,47,62,64,84,65,94,60,12,8
"Alhué",19,10,9,7,6,0,5,0,0,6,0,3
"Curacaví",9,12,13,12,14,14,7,1,11,6,5,4
"María Pinto",1,3,3,2,1,2,0,4,1,0,1,1
"San Pedro",1,0,0,6,0,0,0,0,2,0,3,0
"Talagante",44,11,33,22,11,13,9,8,11,16,3,3
"El Monte",93,65,125,87,82,35,47,82,64,46,14,11
"Isla de Maipo",258,282,404,227,275,165,201,202,155,90,64,84
"Padre Hurtado",14,13,33,49,39,41,9,23,36,23,4,2
"Peñaflor",23,23,49,77,31,36,75,25,32,31,0,2
