"Santiago",,"Robo y receptación",,,,,,,,,,
"Cerrillos",2017,,,,,,,,,,,
"Cerro Navia","TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
"Conchalí",1,2,3,4,5,6,7,8,9,10,11,12
"El Bosque",1.403,1.290,1.541,1.469,1.664,1.560,1.763,1.840,1.684,1.807,1.790,1.649
"Estación Central",161,174,171,144,181,177,168,186,176,159,158,191
"Huechuraba",122,101,135,119,131,139,127,110,123,129,139,119
"Independencia",184,204,252,183,203,184,178,228,226,197,259,203
"La Cisterna",238,198,249,230,262,235,274,333,269,287,300,305
"La Florida",418,370,387,360,353,340,369,415,360,414,374,398
"La Granja",153,186,177,149,212,147,186,165,168,161,135,160
"La Pintana",210,161,211,207,224,208,206,246,210,237,204,206
"La Reina",213,212,217,166,227,228,248,307,246,247,270,255
"Las Condes",740,677,769,626,692,699,678,804,796,720,735,739
"Lo Barnechea",192,181,192,165,200,195,215,232,211,237,234,201
"Lo Espejo",240,199,226,198,242,242,249,244,251,283,249,279
"Lo Prado",280,224,256,178,216,208,237,242,234,254,204,234
"Macul",550,466,572,449,583,542,512,539,547,459,472,419
"Maipú",133,92,114,94,136,112,108,113,106,110,96,130
"Ñuñoa",142,140,178,130,170,129,124,158,178,116,130,158
"Pedro Aguirre Cerda",121,121,111,98,120,89,120,102,123,127,140,144
"Peñalolén",194,181,251,204,237,215,285,231,275,235,232,237
"Providencia",665,579,734,631,675,662,721,770,749,654,722,669
"Pudahuel",519,439,532,515,614,576,575,587,561,655,542,540
"Quilicura",124,134,130,95,133,130,121,156,129,137,150,143
"Quinta Normal",345,268,328,246,310,274,275,338,352,310,330,334
"Recoleta",627,571,681,560,651,563,697,685,669,662,672,607
"Renca",310,257,317,280,319,305,317,326,393,324,323,332
"San Joaquín",324,358,342,301,359,325,327,353,317,352,295,336
"San Miguel",230,236,252,229,247,272,292,303,259,315,294,331
"San Ramón",404,423,463,432,439,438,426,474,514,435,470,449
"Vitacura",190,139,179,167,183,179,207,201,189,232,230,185
"Puente Alto",188,126,141,136,153,161,120,187,185,167,148,170
"Pirque",359,267,353,253,305,344,333,462,341,332,355,353
"San José de Maipo",144,125,138,104,134,145,134,167,149,140,155,145
"Colina",267,234,289,260,275,272,298,283,260,256,201,230
"Lampa",852,721,869,756,873,916,945,996,933,967,880,897
"Tiltil",40,28,30,43,35,37,40,37,26,20,23,28
"San Bernardo",28,22,20,26,18,19,19,18,14,27,34,32
"Buin",222,163,211,191,218,198,246,227,234,218,213,184
"Calera de Tango",117,96,131,116,173,167,142,163,170,144,162,155
"Paine",24,17,17,19,21,19,21,29,24,23,34,18
"Melipilla",542,454,638,565,655,585,618,679,601,697,646,624
"Alhué",104,89,99,94,120,154,110,129,125,109,127,103
"Curacaví",45,26,39,27,49,37,48,49,36,37,52,27
"María Pinto",81,59,89,66,74,84,73,79,74,65,76,91
"San Pedro",225,214,240,234,208,216,197,237,251,246,255,192
"Talagante",4,9,4,3,4,2,3,7,4,4,4,7
"El Monte",48,32,49,36,33,47,36,32,43,28,27,27
"Isla de Maipo",8,12,6,7,7,7,12,11,16,12,7,15
"Padre Hurtado",6,9,16,12,4,7,4,8,6,11,10,12
"Peñaflor",79,89,95,74,94,92,101,88,107,93,99,98
,48,28,29,35,32,33,51,29,33,29,29,10
,25,21,21,25,23,40,23,41,27,37,29,28
,43,47,41,32,40,49,60,62,43,63,57,46
,77,72,87,78,117,100,101,69,75,59,81,92
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2017,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,27.196,24.370,26.782,23.974,27.678,26.725,28.343,29.514,27.497,28.330,27.169,26.213
,13.008,11.541,13.619,11.817,13.648,13.104,13.740,14.777,14.092,14.039,13.853,13.537
,10.390,9.333,10.888,9.378,10.850,10.295,10.890,11.787,11.250,11.150,11.008,10.851
,920,771,919,825,926,972,1.004,1.051,973,1.014,937,957
,363,276,359,326,412,384,409,419,428,385,409,357
,772,628,865,752,898,860,849,936,836,908,901,845
,291,276,315,292,256,279,252,295,320,301,303,253
,272,257,273,244,306,314,336,289,285,281,295,274
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
