"Santiago",11,11,8,8,7,5,7,13,11,5,1,1
"Cerrillos",5,1,2,5,5,3,2,3,2,1,1,0
"Cerro Navia",1,1,0,0,0,2,0,0,1,0,0,0
"Conchalí",0,0,1,0,0,0,0,0,0,0,0,1
"El Bosque",4,1,1,0,2,1,1,2,0,0,0,1
"Estación Central",6,2,5,5,4,3,3,9,2,0,2,1
"Huechuraba",0,0,0,1,0,0,0,0,0,0,0,1
"Independencia",12,19,8,8,6,6,8,9,8,8,6,7
"La Cisterna",2,3,0,3,1,5,2,0,3,0,0,1
"La Florida",19,11,14,9,17,10,10,17,14,4,12,4
"La Granja",1,1,3,1,3,2,1,6,2,5,5,2
"La Pintana",2,2,0,0,0,1,1,2,1,0,1,0
"La Reina",2,2,2,4,4,6,1,4,0,1,0,0
"Las Condes",5,11,12,12,16,13,14,12,7,13,5,7
"Lo Barnechea",4,1,5,1,4,8,2,2,2,3,4,2
"Lo Espejo",0,0,1,1,0,1,2,0,2,1,0,1
"Lo Prado",3,2,11,6,7,5,3,3,0,2,5,2
"Macul",0,0,0,3,0,2,1,0,0,0,0,0
"Maipú",7,13,17,13,13,17,22,16,18,11,9,11
"Ñuñoa",16,13,16,18,25,22,23,14,9,12,6,1
"Pedro Aguirre Cerda",0,0,1,0,0,0,0,0,1,1,0,0
"Peñalolén",2,4,1,1,1,2,4,5,2,3,1,0
"Providencia",3,3,2,1,4,1,6,2,1,4,2,0
"Pudahuel",0,1,8,5,6,2,4,9,5,8,11,0
"Quilicura",1,0,1,0,1,0,4,1,2,2,0,0
"Quinta Normal",2,7,4,5,12,6,3,5,4,4,0,6
"Recoleta",2,1,1,0,10,4,4,5,9,0,4,0
"Renca",3,2,5,3,3,0,0,1,3,2,6,1
"San Joaquín",6,4,1,1,3,2,4,6,4,2,8,6
"San Miguel",3,2,4,3,4,2,1,8,3,6,1,2
"San Ramón",1,0,1,1,1,1,0,4,3,4,0,1
"Vitacura",3,2,1,1,1,2,1,2,1,0,0,0
"Puente Alto",13,27,26,27,19,23,10,16,25,16,7,15
"Pirque",4,2,4,3,3,2,7,5,5,1,3,1
"San José de Maipo",3,3,2,2,4,0,2,1,0,4,1,2
"Colina",0,5,1,1,1,1,4,5,5,4,4,4
"Lampa",1,0,2,0,0,2,1,2,1,3,1,1
"Tiltil",1,2,0,0,0,2,0,1,1,0,2,1
"San Bernardo",0,1,4,2,2,3,5,4,2,3,4,0
"Buin",9,10,12,14,13,8,10,13,19,11,4,6
"Calera de Tango",4,0,4,4,3,1,5,1,0,0,1,1
"Paine",6,0,4,2,0,2,1,3,6,1,3,9
"Melipilla",3,3,3,2,1,0,1,3,3,0,1,0
"Alhué",1,1,0,0,1,0,0,1,0,1,1,0
"Curacaví",1,6,0,1,0,0,1,0,1,1,0,0
"María Pinto",2,1,1,0,0,0,0,1,2,0,1,0
"San Pedro",0,0,0,1,0,0,1,2,0,0,0,0
"Talagante",12,9,3,14,5,9,3,2,4,2,3,3
"El Monte",6,2,5,4,3,7,2,4,9,6,4,1
"Isla de Maipo",2,9,7,0,1,2,2,1,3,0,1,2
"Padre Hurtado",4,3,5,3,1,3,2,4,3,1,2,3
"Peñaflor",3,3,1,3,0,3,5,3,5,4,2,1
