"Santiago",25,33,36,29,29,26,24,34,31,38,39,40
"Cerrillos",6,3,5,4,2,0,2,0,4,0,6,6
"Cerro Navia",0,6,4,3,4,1,3,3,4,6,8,4
"Conchalí",2,1,1,1,4,5,0,3,2,2,1,1
"El Bosque",0,2,0,1,1,0,0,3,1,1,0,0
"Estación Central",1,6,6,4,6,2,3,5,4,4,8,9
"Huechuraba",1,2,1,0,2,2,2,2,5,2,4,5
"Independencia",3,7,3,2,3,7,5,6,4,4,3,4
"La Cisterna",1,4,6,3,5,5,3,1,1,5,2,2
"La Florida",9,2,6,6,8,11,4,14,9,13,10,13
"La Granja",2,1,2,0,4,1,0,4,0,1,4,2
"La Pintana",0,2,1,2,3,1,2,1,3,3,1,3
"La Reina",13,4,7,7,1,4,3,7,6,10,13,14
"Las Condes",17,12,9,5,12,9,20,19,16,16,22,21
"Lo Barnechea",0,3,1,1,3,1,8,2,1,3,3,5
"Lo Espejo",4,2,1,5,0,2,2,2,2,0,1,2
"Lo Prado",1,0,1,3,2,2,2,2,3,6,2,0
"Macul",5,3,2,8,8,10,4,2,17,6,5,4
"Maipú",17,12,17,9,10,10,7,13,10,16,12,18
"Ñuñoa",8,18,9,13,12,8,11,6,15,16,19,8
"Pedro Aguirre Cerda",0,2,3,2,0,2,4,2,1,3,2,0
"Peñalolén",6,4,5,1,2,6,6,2,4,6,7,10
"Providencia",13,25,18,11,14,14,20,20,18,37,27,23
"Pudahuel",6,6,8,8,5,8,7,6,5,2,3,3
"Quilicura",1,0,1,3,8,0,1,5,2,5,11,10
"Quinta Normal",2,7,4,8,7,2,3,6,1,8,5,1
"Recoleta",16,17,20,22,10,15,20,20,21,23,22,24
"Renca",4,10,13,13,17,9,11,14,12,10,14,8
"San Joaquín",2,1,2,1,2,1,2,3,1,1,3,2
"San Miguel",3,8,2,7,6,5,2,3,4,3,7,6
"San Ramón",1,1,1,1,1,2,0,0,0,0,1,0
"Vitacura",2,7,12,3,3,4,6,6,5,5,8,9
"Puente Alto",10,7,7,11,8,8,10,6,16,9,10,8
"Pirque",0,0,1,2,1,1,1,1,1,1,3,0
"San José de Maipo",2,0,0,0,0,0,0,0,1,0,2,0
"Colina",1,1,2,4,2,4,0,1,0,6,1,5
"Lampa",1,1,0,1,3,2,3,4,0,0,0,2
"Tiltil",0,0,0,0,0,0,1,0,0,0,1,0
"San Bernardo",6,3,4,3,2,2,3,2,8,6,6,4
"Buin",1,1,1,3,0,1,1,1,1,2,3,3
"Calera de Tango",0,1,0,0,2,0,1,0,1,0,0,0
"Paine",0,0,0,0,0,0,0,0,0,1,0,0
"Melipilla",0,1,3,1,0,2,4,2,3,2,5,1
"Alhué",0,0,0,0,0,0,0,0,0,0,0,0
"Curacaví",1,0,0,0,0,0,1,0,0,1,1,0
"María Pinto",0,0,0,1,0,0,0,0,0,0,0,1
"San Pedro",0,0,0,0,0,0,0,0,0,0,0,0
"Talagante",3,3,4,5,9,6,7,4,5,5,4,4
"El Monte",0,0,0,2,2,2,3,0,1,0,4,5
"Isla de Maipo",1,0,0,0,0,0,0,1,1,0,1,0
"Padre Hurtado",1,2,2,4,1,2,3,2,4,2,2,7
"Peñaflor",1,0,1,2,1,3,0,2,2,5,0,2
