"Santiago",977,1.043,1.010,770,753,763,914,1.006,1.114,1.318,1.393,1.508
"Cerrillos",138,135,146,144,119,98,120,157,152,133,157,207
"Cerro Navia",97,105,136,138,113,98,129,117,128,146,140,128
"Conchalí",136,138,164,138,113,126,151,138,134,179,172,148
"El Bosque",164,158,185,144,140,176,158,169,152,161,172,172
"Estación Central",317,291,332,242,192,206,276,318,290,320,342,417
"Huechuraba",102,97,112,64,98,84,117,143,140,120,146,139
"Independencia",119,138,152,153,138,130,138,175,135,176,198,196
"La Cisterna",153,178,202,174,173,145,167,187,188,199,219,215
"La Florida",396,345,346,277,222,295,300,325,397,417,379,425
"La Granja",117,116,156,135,106,141,127,141,148,151,146,157
"La Pintana",146,156,161,151,115,142,169,155,185,165,160,199
"La Reina",89,114,97,77,83,110,95,113,104,123,90,127
"Las Condes",235,258,250,149,206,179,225,239,205,248,267,251
"Lo Barnechea",50,56,57,28,32,20,33,59,39,46,42,50
"Lo Espejo",122,143,162,143,79,92,126,165,124,146,188,169
"Lo Prado",94,92,108,117,98,95,107,125,110,146,152,157
"Macul",156,142,146,123,123,133,120,139,126,155,176,171
"Maipú",469,498,499,426,348,427,416,402,439,578,460,508
"Ñuñoa",288,341,305,270,319,285,257,296,323,322,382,399
"Pedro Aguirre Cerda",107,116,125,102,117,112,106,108,109,111,122,149
"Peñalolén",212,197,208,183,174,187,206,210,208,256,225,265
"Providencia",304,298,315,200,246,220,301,356,353,508,438,506
"Pudahuel",247,281,290,291,222,216,215,255,265,298,254,259
"Quilicura",219,193,263,187,161,204,248,248,226,272,239,274
"Quinta Normal",208,183,187,197,168,173,170,203,196,251,280,285
"Recoleta",226,301,304,274,253,267,313,339,361,519,412,412
"Renca",145,158,176,138,103,109,121,163,171,174,165,187
"San Joaquín",98,92,125,118,90,107,108,120,128,126,108,132
"San Miguel",209,205,187,198,201,220,227,246,235,261,238,267
"San Ramón",80,76,78,74,77,85,108,92,90,102,93,101
"Vitacura",110,89,115,72,81,76,122,127,125,103,113,109
"Puente Alto",449,446,463,458,465,455,456,390,443,500,494,577
"Pirque",15,12,15,4,5,9,4,11,9,9,10,10
"San José de Maipo",13,9,16,7,8,8,19,17,17,25,28,34
"Colina",140,113,144,131,123,95,95,150,148,122,150,174
"Lampa",115,109,126,107,126,122,124,128,115,128,122,125
"Tiltil",7,10,24,11,12,13,17,12,17,12,19,13
"San Bernardo",395,402,533,421,344,342,389,425,403,461,383,542
"Buin",72,65,75,58,77,80,72,88,89,84,98,124
"Calera de Tango",27,30,25,13,19,13,25,25,26,26,21,38
"Paine",44,41,47,54,65,40,41,53,52,55,61,62
"Melipilla",111,125,125,107,111,109,121,132,142,168,123,106
"Alhué",5,4,5,2,0,4,1,0,2,6,5,3
"Curacaví",19,31,30,16,21,21,19,25,45,39,31,38
"María Pinto",10,14,11,3,7,5,3,7,3,11,4,6
"San Pedro",10,9,12,9,9,10,13,10,10,16,9,15
"Talagante",52,49,49,61,60,70,80,66,51,75,54,74
"El Monte",16,15,21,21,10,17,18,13,26,29,20,24
"Isla de Maipo",15,14,9,10,16,6,16,12,10,17,23,13
"Padre Hurtado",52,37,41,45,37,49,47,36,38,59,60,41
"Peñaflor",57,67,57,59,44,50,45,74,44,56,58,57
